赛事,比赛时间,主队,比分,客队,赛果,? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?,澳门盘口,盘路,大小,分析
英超,2017/8/13,曼 联,4:0 (1:0),西汉姆,负,1.295.3810.84,球半,输,大,析
球会友谊,2017/8/4,曼 城,3:0 (1:0),西汉姆,负,1.305.207.96,一球/球半,输,大,析
球会友谊,2017/8/2,阿尔托,3:3?(2:1),西汉姆,平,21.759.431.07,受两球半,输,大,析
球会友谊,2017/7/29,不来梅,2:2?(1:1),西汉姆,平,2.413.352.67,,走盘,大,析
球会友谊,2017/7/28,不来梅,1:0 (1:0),西汉姆,负,2.333.412.69,平手/半球,输,小,析
球会友谊,2017/7/21,西汉姆,2:1 (2:0),富勒姆,胜,1.913.493.46,半球,赢,大,析
球会友谊,2017/7/18,格拉茨青,0:0?(0:0),西汉姆,平,23.3613.811.02,,走盘,小,析
英超,2017/5/21,伯恩利,1:2?(1:1),西汉姆,胜,2.293.423.09,平手/半球,赢,大,析
英超,2017/5/14,西汉姆,0:4?(0:1),利物浦,负,5.593.951.61,受一球,输,大,析
英超,2017/5/6,西汉姆,1:0 (0:0),热 刺,胜,8.004.911.38,受一球/球半,赢,小,析
英超,2017/4/29,斯托克,0:0?(0:0),西汉姆,平,1.993.383.91,半球,赢,小,析
英超,2017/4/22,西汉姆,0:0?(0:0),埃弗顿,平,3.573.572.03,受半球,赢,小,析
英超,2017/4/15,桑德兰,2:2?(1:1),西汉姆,平,2.753.392.54,平手,走盘,大,析
英超,2017/4/8,西汉姆,1:0 (1:0),斯旺西,胜,2.103.393.54,半球,赢,小,析
英超,2017/4/6,阿森纳,3:0 (0:0),西汉姆,负,1.405.077.10,球半,输,大,析
英超,2017/4/1,赫尔城,2:1 (0:1),西汉姆,负,2.443.303.01,平手/半球,输,大,析
英超,2017/3/18,西汉姆,2:3?(1:3),莱切城,负,2.353.343.06,平手/半球,输,大,析
英超,2017/3/11,伯恩茅,3:2 (1:1),西汉姆,负,2.493.392.82,平手,输,大,析
英超,2017/3/7,西汉姆,1:2?(0:1),切尔西,负,5.774.071.59,受一球,走盘,大,析
英超,2017/2/26,沃特福,1:1?(1:0),西汉姆,平,2.673.182.76,平手,走盘,小,析
英超,2017/2/11,西汉姆,2:2?(0:1),西布罗,平,2.223.243.42,平手/半球,输半,大,析
英超,2017/2/4,南安普,1:3?(1:2),西汉姆,胜,1.763.724.69,半球/一球,赢,大,析
英超,2017/2/2,西汉姆,0:4?(0:3),曼 城,负,5.614.291.56,受一球,输,大,析
英超,2017/1/21,米德尔,1:3?(1:2),西汉姆,胜,2.463.113.10,平手/半球,赢,大,析
英超,2017/1/14,西汉姆,3:0 (0:0),水晶宫,胜,2.363.283.12,平手/半球,赢,大,析
英足总杯,2017/1/7,西汉姆,0:5?(0:3),曼 城,负,5.214.221.59,受一球,输,大,析
英超,2017/1/3,西汉姆,0:2?(0:0),曼 联,负,5.954.201.55,受一球,输,小,析
英超,2016/12/31,莱切城,1:0 (1:0),西汉姆,负,2.083.413.59,半球,输,小,析
英超,2016/12/26,斯旺西,1:4?(0:1),西汉姆,胜,2.393.372.98,平手/半球,赢,大,析
英超,2016/12/17,西汉姆,1:0 (0:0),赫尔城,胜,1.683.785.21,半球/一球,赢半,小,析
英超,2016/12/15,西汉姆,1:0 (1:0),伯恩利,胜,1.663.845.34,半球/一球,赢半,小,析
英超,2016/12/12,利物浦,2:2?(1:2),西汉姆,平,1.285.8810.05,球半/两球,赢,大,析
英超,2016/12/4,西汉姆,1:5?(0:1),阿森纳,负,5.234.081.63,受半球/一球,输,大,析
英联杯,2016/12/1,曼 联,4:1 (1:1),西汉姆,负,1.364.968.31,球半,输,大,析
英超,2016/11/28,曼 联,1:1?(1:1),西汉姆,平,1.365.058.45,球半,赢,小,析
英超,2016/11/20,热 刺,3:2 (0:1),西汉姆,负,1.514.306.41,一球/球半,赢半,大,析
英超,2016/11/5,西汉姆,1:1?(0:0),斯托克,平,2.003.473.79,半球,输,小,析
英超,2016/10/30,埃弗顿,2:0 (0:0),西汉姆,负,1.843.674.27,半球,输,小,析
英联杯,2016/10/27,西汉姆,2:1 (1:0),切尔西,胜,4.013.681.85,受半球,赢,大,析
英超,2016/10/22,西汉姆,1:0 (0:0),桑德兰,胜,1.673.865.21,半球/一球,赢半,小,析
英超,2016/10/16,水晶宫,0:1?(0:1),西汉姆,胜,2.133.403.49,平手/半球,赢,小,析
英超,2016/10/1,西汉姆,1:1?(0:0),米德尔,平,2.073.363.72,平手/半球,输半,小,析
英超,2016/9/25,西汉姆,0:3?(0:1),南安普,负,2.973.332.42,受平手/半球,输,大,析
英联杯,2016/9/22,西汉姆,1:0 (0:0),阿克灵,胜,1.226.2411.93,两球,输,小,析
英超,2016/9/17,西布罗,4:2 (3:0),西汉姆,负,2.733.162.71,平手,输,大,析
英超,2016/9/10,西汉姆,2:4?(2:2),沃特福,负,1.863.544.31,半球,输,大,析
英超,2016/8/28,曼 城,3:1 (2:0),西汉姆,负,1.266.0611.08,球半/两球,输半,大,析
欧罗巴,2016/8/26,西汉姆,0:1?(0:1),久尔久,负,1.265.4010.68,球半/两球,输,小,析
英超,2016/8/21,西汉姆,1:0 (0:0),伯恩茅,胜,2.253.323.33,平手/半球,赢,小,析
欧罗巴,2016/8/19,久尔久,1:1?(0:1),西汉姆,平,4.243.491.82,受半球/一球,输,小,析
英超,2016/8/16,切尔西,2:1 (0:0),西汉姆,负,1.544.146.42,一球,走盘,大,析
球会友谊,2016/8/7,西汉姆,2:3?(1:2),尤 文,负,3.263.332.10,受平手/半球,输,大,析
欧罗巴,2016/8/5,西汉姆,3:0 (2:0),多姆扎,胜,1.235.5411.95,球半/两球,赢,大,析
欧罗巴,2016/7/29,多姆扎,2:1 (1:1),西汉姆,负,6.203.931.50,受一球/球半,输,大,析
球会友谊,2016/7/23,西汉姆,3:0 (2:0),卡尔斯,胜,1.813.563.83,半球,赢,大,析
球会友谊,2016/7/20,西汉姆,0:3?(0:2),喀 山,负,2.263.352.82,平手/半球,输,大,析
英超,2018/5/13,曼 联,1:0 (1:0),沃特福,负,1.47?4.55?7.01,一球/球半,赢半,小,析
英超,2018/5/5,沃特福,2:1 (2:0),纽卡斯,胜,2.22?3.28?3.40,平手/半球,赢,大,析
英超,2018/5/1,热 刺,2:0 (1:0),沃特福,负,1.16?7.97?16.54,两球/两球半,赢半,小,析
英超,2018/4/21,沃特福,0:0?(0:0),水晶宫,平,2.97?3.27?2.45,平手,走盘,小,析
英超,2018/4/14,哈德斯,1:0 (0:0),沃特福,负,2.57?3.13?2.92,平手,输,小,析
英超,2018/4/7,沃特福,1:2?(0:0),伯恩利,负,2.33?3.14?3.31,平手/半球,输,大,析
英超,2018/3/31,沃特福,2:2?(1:1),伯恩茅,平,2.26?3.39?3.20,平手/半球,输半,大,析
英超,2018/3/18,利物浦,5:0 (2:0),沃特福,负,1.17?7.79?15.73,两球,输,大,析
英超,2018/3/11,阿森纳,3:0 (1:0),沃特福,负,1.47?4.52?6.72,一球/球半,输,大,析
英超,2018/3/3,沃特福,1:0 (0:0),西布罗,胜,2.23?3.23?3.46,平手/半球,赢,小,析
英超,2018/2/25,沃特福,1:0 (0:0),埃弗顿,胜,2.29?3.27?3.26,平手/半球,赢,小,析
英超,2018/2/10,西汉姆,2:0 (1:0),沃特福,负,2.39?3.28?3.05,平手/半球,输,小,析
英超,2018/2/6,沃特福,4:1 (1:0),切尔西,胜,6.36?4.21?1.53,受一球,赢,大,析
英超,2018/2/1,斯托克,0:0?(0:0),沃特福,平,2.14?3.41?3.44,平手/半球,赢半,小,析
英足总杯,2018/1/27,南安普,1:0 (1:0),沃特福,负,1.87?3.51?4.10,半球,输,小,析
英超,2018/1/20,莱切城,2:0 (1:0),沃特福,负,1.79?3.75?4.44,半球/一球,输,小,析
英超,2018/1/13,沃特福,2:2?(0:2),南安普,平,2.54?3.31?2.81,平手,走盘,大,析
英足总杯,2018/1/6,沃特福,3:0 (1:0),布里斯,胜,1.48?4.29?6.39,一球,赢,大,析
英超,2018/1/3,曼 城,3:1 (2:0),沃特福,负,1.13?9.14?18.37,两球半,赢,大,析
英超,2017/12/30,沃特福,1:2?(1:0),斯旺西,负,1.74?3.62?5.04,半球/一球,输,大,析
英超,2017/12/26,沃特福,2:1 (1:1),莱切城,胜,2.57?3.37?2.72,平手,赢,大,析
英超,2017/12/23,布赖顿,1:0 (0:0),沃特福,负,2.61?3.14?2.84,平手,输,小,析
英超,2017/12/16,沃特福,1:4?(0:2),哈德斯,负,1.76?3.61?4.87,半球/一球,输,大,析
英超,2017/12/13,水晶宫,2:1 (0:1),沃特福,负,2.26?3.42?3.16,平手/半球,输,大,析
英超,2017/12/9,伯恩利,1:0 (1:0),沃特福,负,2.68?3.13?2.78,平手,输,小,析
英超,2017/12/2,沃特福,1:1?(1:1),热 刺,平,4.95?4.11?1.65,受半球/一球,赢,小,析
英超,2017/11/29,沃特福,2:4?(0:3),曼 联,负,4.93?3.78?1.71,受半球/一球,输,大,析
英超,2017/11/25,纽卡斯,0:3?(0:2),沃特福,胜,2.20?3.31?3.37,平手/半球,赢,大,析
英超,2017/11/19,沃特福,2:0 (1:0),西汉姆,胜,2.22?3.26?3.39,平手/半球,赢,小,析
英超,2017/11/6,埃弗顿,3:2 (0:0),沃特福,负,2.19?3.30?3.44,平手/半球,输,大,析
英超,2018/5/13,热 刺,5:4 (1:2),莱切城,胜,1.355.457.80,球半,输,大,析
